,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q35,Q36,Q37
103,grandparent,3000.0,0.0,3000.0,No,,,1,5,,To fairly split the expenses with other  family,3,NA.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,3,5,Na.,No
104,mother,1200.0,80.0,20.0,Yes,"Family members divide the total cost,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,2,Not too many options available,,4,Because it would be vital,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Optional,5,4,5,No you’re good,Job
105,grandparent,2500.0,2000.0,500.0,No,,,3,5,,Yes,5,Yes,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,No that is all,No it was very well done
106,brother,7000.0,5000.0,2000.0,No,,,1,5,,It would help me out,5,To help with the costs,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,Nothing,Nothing
107,mother,1200.0,1000.0,200.0,No,,,1,5,,It would help with the overall cost tremendous amount.,2,,They are deadbeats and don't pay for what they should.,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,5,4,3,Nothing in particular,Nothing in particular
108,mother,650.0,0.0,650.0,No,,,1,5,,if it helps pay some money,5,saves money,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,3,4,5,nothing that comes to mind,none
109,father,675.0,300.0,375.0,No,,,1,5,,Because it would be easier for me to get money from family to help carefree my father,5,For the same reason,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,3,4,5,Nothing at all,No
110,mother,1234.0,123.0,123.0,Yes,Family members are each responsible for different bills,,5,5,,I don't know,5,I don't know,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,I don't know,I don't know
111,father,3500.0,2500.0,1000.0,No,,,1,5,,It sounds like something that would be very helpful with my family helping me take care of our fathers care expenses,4,Because it would be an easier and convenient way for them to help without having to go anywhere,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,Nothing I can think of at the moment,No I didn't find anything confusing at all
112,husband,1200.0,900.0,300.0,No,,,1,5,,After paying for his care each month I don't have much disposible income left for myself,4,hopefully they would want to help pay for their father's care expenses,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,4,no I can't think of anything,nope
113,mother,1300.0,800.0,500.0,No,,,1,5,,to make things fair,3,to see if I'm spending what I claim,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,1,Required,5,5,5,no got it covered,no
114,father,2500.0,1800.0,500.0,Yes,Family members divide the total cost,,5,3,,Just for a little help here and there.,5,Save a little more money,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,3,5,5,Nothing,No
115,grandparent,7800.0,300.0,7500.0,Yes,"Family members divide the total cost,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,4,,It can help avoid fighting,5,It could avoid fighting in the family,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Required,5,5,5,,No
116,mother,2000.0,1200.0,400.0,Yes,Family members divide the total cost,,4,5,,I would like help in caring for my mothers financial costs,5,They are concerned with the rising costs,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Optional,5,5,5,I will be looking up more information,This survey was well done
117,grandparent,350.0,100.0,250.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",4,4,,Would be easier to keep track,5,It would help keep track,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,4,4,5,I think that’s good,No
118,friend,1100.0,900.0,200.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",2,3,,It may make it easier ob the bills ND expenses,3,Same to make sure it's fair,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Required,4,5,5,,No
119,father,600.0,0.0,600.0,No,,,1,3,,Make it easier if they actually help with expenses.,3,If they decide to help then they can do it electronically.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,5,5,4,Nothing else to add at this time.,Nothing I dislike about the survey.
120,mother,400.0,275.0,125.0,Yes,Family members send money to the main person caring for our relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,5,,It seems like it would be helpful,5,It would be helpfuk,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,No,No
121,grandparent,300.0,0.0,300.0,No,,,1,4,,Help with expenses,5,Help with care,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,5,5,5,I don't think so,No you did amazing
122,grandparent,300.0,200.0,100.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",4,4,,To help the process,3,To help keep things in irdery,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,4,3,5,I think it covers all,No
123,mother-in-law,1000.0,700.0,300.0,Yes,Family members send money to my relative,Cash or check,2,4,,It could make it easier,1,,Don’t like technology,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,2,Required,5,4,4,,No
124,mother-in-law,1500.0,0.0,1500.0,No,,,1,5,,Help the load,5,Help me out,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,Food recipes,Not at all
125,mother,40.0,3.0,1.0,No,,,1,5,,Yes,4,To help with costs for their future,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,3,Optional,4,4,5,No thank you,No
126,,3900.0,3900.0,0.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,4,5,,Seems beneficial,5,Various reasons,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,,
127,brother,1000.0,800.0,200.0,No,,,2,5,,Help for my brother,5,Help me,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,4,3,5,Nothing,Nothing
128,grandparent,3450.0,2000.0,1450.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check,ACH transfer",1,5,,Because it would be out in the open and on paper,4,Because it's legit and on paper and accredited in court,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,2,Required,5,5,5,No,No it was not confusing at all very easy to understand
129,grandparent,1000.0,100.0,900.0,No,,,5,5,,I can use the extra expense tracking,5,They can help me with the cost and see where the money is going,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,5,5,5,Invoices,
130,mother,3000.0,2000.0,1000.0,No,,,2,5,,So I wouldn't have to assume all the burden,3,Probably not because then they'll have to pay,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Required,5,5,5,Nothing,No not at all
131,mother,300.0,0.0,300.0,No,,,3,3,,I’d at least check it out,3,It might have some usefulness for us,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,3,,
132,sister,5000.0,0.0,1000.0,Yes,Family members divide the total cost,,4,3,,I'm interested to see how much it would help,2,,They are not too cooperative with things like this,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Required,3,4,4,No,No
133,mother-in-law,1000.0,500.0,500.0,Yes,Family members are each responsible for different bills,,5,3,,To see what it is about,2,,They feel like they are stuck in their ways,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,2,Required,5,5,4,No,No
134,father,300.0,250.0,50.0,No,,,2,3,,Help with money management,3,Help with money management,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Required,4,4,4,,
135,mother,500.0,0.0,0.0,Yes,Family members divide the total cost,,5,5,,To help with care taking,5,To help with stress,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,I think it sounds great and has a lot of potential,No there was not
136,grandparent,856.0,436.0,340.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,4,,Because they could help me and my family the care of our grandparent more,4,Because it would help alot of them save money every month,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,4,4,4,No I think you guys covered just about everything on my family spliting the money,Not at all I understood everything
137,father-in-law,1200.0,1000.0,200.0,No,,,3,2,Need to know more information,,2,,Need to know more information,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,3,3,2,No not at all,No
138,mother,1500.0,0.0,1500.0,No,,,1,5,,To help me save money and take care of my elderly,5,They have been aching to help as well.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Required,5,5,5,scheduling meetings,none
139,mother,100.0,0.0,0.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,4,5,,Because it sounds like something my family might need,5,Because they all share the cost and my mom's medical payments,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Optional,5,4,5,,
140,mother,1500.0,500.0,1000.0,Yes,Family members send money to my relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",3,5,,It would help to ease the burden and stress involved,3,Certain ones would probably see the benefits but maybe not all,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Required,4,5,5,Nothing comes immediately to mind,No
141,grandparent,1000.0,800.0,200.0,No,,,2,1,I'm handling it,,1,,No comment,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,1,1,2,No,No
142,mother-in-law,1000.0,1000.0,0.0,No,,,5,3,,"if we were to have to pay for the cost of care, it would be nice to make sure that it is handled fairly.",3,To make sure that the responsibility is being shared evenly.,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,4,4,4,no,no
143,mother,9000.0,1000.0,1000.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,"I need help with the payments, because I am bad a organizing.",5,They also need financial help.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,4,5,5,Nothing was missed.,None.
144,grandparent,800.0,650.0,150.0,No,,,1,5,,So all the weight wouldn't be on myself alone.,3,To help me out,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,1,Required,5,5,5,Not that  I can forsee at this moment. I think you guys pretty much covered all the aspects that matter! GOOD JOB! HOPE THE APP IS AMAZING AS IT SOUNDS!ð,Not at all. Thus was hands down the easiest most efficient survey I've ever took!! By light-years literally!! Good job!
145,mother-in-law,250.0,200.0,50.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",2,2,I am interested,,5,To make sure not one person is paying for too much,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,No,No
146,grandparent,1500.0,1100.0,75.0,Yes,,Cash or check,2,2,"Cuz I don't see how sending them a ""To Do List"" that also doubles as a ""Bill"". I don't think is the way to go about such a subject.",,3,I really don't know that would be interested?,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,3,3,3,No nothing,No it was a 100% straight forward as well as east reading an understanding.  Good j
147,sister,2000.0,2000.0,0.0,No,,,1,1,Caring for my sister was a temporary thing after surgery. She can take care of herself usually and has the usual expenses of anyone.,,1,,No one in the family needs CareShare at this time.,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,2,nope,nope
148,grandparent,2000.0,1000.0,1000.0,Yes,Family members send money to my relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",3,4,,It would simplify everything,4,Coordination,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,4,,
149,father,1300.0,65.0,500.0,Yes,Family members divide the total cost,,5,5,,It would help estimate the cost each family member pays,5,It would be easier to estimate cost,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,It would make everything easier,Nothing
150,mother,2500.0,750.0,1750.0,No,,,1,5,,It would help me pay less for my mother's care but I don't mind talking care of my mom I just would like to have more money for my children,2,,They are cheap but they offered to help me so you need know,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,5,5,I think you covered it all thank you,No
151,mother,1200.0,1000.0,200.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,3,,To help my mother,4,To help their loved ones,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,4,Not at all,Nope
152,grandparent,1100.0,700.0,400.0,No,,,4,5,,feel like it would be easier for everyone to get on board with it and not feel like i am asking for money for myself,5,think it would be good,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,4,5,,
153,grandparent,400.0,0.0,100.0,Yes,Family members send money to my relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,5,,It would be nice if we had a service that would do this for us,4,We all would like this service,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,5,4,4,No,No
154,father,1500.0,1000.0,250.0,Yes,Family members are each responsible for different bills,,5,5,,Because it's something I've been thinking about for a long time,5,Because we've been discussing how to handle these costs for a few years now,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,4,5,No I'm actually going to look into this as soon as I'm done with this,No it was all very clear
155,grandparent,1500.0,850.0,650.0,Yes,"Family members are each responsible for different bills,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,Seems like it help,5,It's easier,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,No,No
156,grandparent,10000.0,5000.0,5000.0,No,,,5,5,,To help share the cost,5,To help out,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,I missed nothing,Nope
157,father,2500.0,500.0,600.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,ACH transfer",3,5,,To fairly share bills,4,For transparency,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,There is nothing,None
158,father,200.0,40.0,160.0,No,,,1,5,,if it can help save us money. Would be great!,5,My dad is on a fixed income. So anything helps.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,2,Required,4,5,5,no,"No, it was pretty easy to follow."
159,mother,500.0,60.0,100.0,No,,,4,4,,Take a burden off of anything that way they know where you worry about it.,4,To give them more assistance on what they've already gotten going on right now.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,4,4,4,None,No
160,mother,500.0,500.0,0.0,No,,,5,4,,Curious as to what it is.,1,,Very private family,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,4,4,No I think everything I could think of was covered in the questionnaire.,No
161,grandparent,1000.0,500.0,500.0,Yes,Family members are each responsible for different bills,,5,3,,It seems cool,3,Help,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Optional,3,3,3,No,No
162,grandparent,1500.0,750.0,750.0,No,,,4,4,,It’s an innovative concept,4,It can help manage costs,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,5,5,5,,
163,friend,800.0,300.0,500.0,No,,,5,5,,I need help,5,We need support for my friend,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,Just sharing the bill,No
164,friend,300.0,0.0,300.0,No,,,4,4,,To help make the cost clear for all involved,4,It may help take the guess work out of the cost of care,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Required,4,5,5,It be great to upload the bills and send them to others for division of the expense,No
165,grandparent,1000.0,900.0,100.0,No,,,1,5,,sounds like it could be really useful,5,because it would make it easier for more family memebers to help out in other ways if they cant be here to help,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,no,no
166,father,1800.0,1500.0,300.0,No,,,1,4,,To get the dead Beach to help me pay for my dad,1,,They like it just the way it is now,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Required,4,5,5,Most families have no interest actually,Nope it was pretty straightforward
167,mother,750.0,600.0,150.0,No,,,1,5,,To get the help I need,2,,They're just washing their hands of the whole matter,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,4,4,5,No,Not at all
168,grandparent,2500.0,1000.0,1000.0,Yes,"Family members are each responsible for different bills,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,5,,To save money,5,to divide cost fairly,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,4,5,None,None
169,mother,1000.0,700.0,300.0,Yes,Family members divide the total cost,,4,5,,makes things easier,5,they would likeit,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,4,5,,
170,father,1000.0,700.0,300.0,Yes,Family members are each responsible for different bills,,5,5,,Makes the finances work out more easier.,5,I don't know I'm the black sheep,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,4,4,5,This sounds like a very good idea.,"No, this is how surveys SHOULD be!"
171,grandparent,1500.0,1200.0,300.0,No,,,2,4,,I would love to have a way to split the costs up evenly.,3,It would make it even and fair that we all pitch in for whatever costs associated.,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,Nope. Everything was put and discussed in the survey.,No it was great!
172,friend,200.0,150.0,50.0,No,,,5,5,,Something new,5,Something new to try,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,Nope,No
173,friend,2000.0,700.0,300.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost,Family members send money to my relative,Family members send money to me,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check,ACH transfer",2,4,,It would help to split the costs associated with my friend’s care,4,To help us divide the costs fairly,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Required,4,5,5,Nothing particular,No
174,mother,200.0,0.0,200.0,Yes,Family members are each responsible for different bills,,5,5,,To get help,5,To get the help we need,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,,No awsome survey
175,grandparent,0.0,0.0,0.0,No,,,3,1,Don't need it,,1,,Don't need it,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,1,Optional,3,2,1,None,None
176,mother,1855.0,850.0,1005.0,No,,,1,5,,I need to get help paying bills,5,To get help paying expenses,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Required,5,5,5,Not I that think of,No
177,grandparent,800.0,300.0,200.0,No,,,4,1,Just don't need it right now,,3,More assistance,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,3,3,3,nothing at all,no
178,mother-in-law,500.0,0.0,250.0,Yes,"Family members divide the total cost,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,1,Unfamiliar and current process works,,2,,Unsure,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,3,4,3,,
179,mother-in-law,700.0,700.0,0.0,No,,,5,3,,Because she's on a fixed income and it would alleviate some of her financial strain,3,Because it would alleviate some of the financial strain on them,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,4,5,3,,No
180,mother,3000.0,2000.0,1000.0,No,,,2,4,,"Just general curiosity.  More than anything, it's caregiver burnout that I'm more concerned about.",3,I don't think they care one way or the other.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,3,4,4,Nothing else.,Nothing
181,mother-in-law,505.3,200.0,305.3,No,,,4,4,,To provide family members with a detailed description of what it would cost them to help with my mother-in-Lars’s finances if they are interested in helping,3,Hard copy of detailed information,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,4,5,4,Including possible emergency expenses like the car breaking down,No
182,grandparent,1000.0,900.0,100.0,No,,,1,5,,It would be a relief,5,Relief,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,4,N9 i cant,No
183,friend,2000.0,1500.0,500.0,No,,,1,5,,I need help,3,They are selfish,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,4,,
184,father,600.0,400.0,200.0,No,,,1,5,,Very helpful service,5,They want to help,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,,
185,mother,500.0,0.0,500.0,No,,,1,1,My siblings are not involved,,1,,They're not,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,1,Required,1,1,1,Nothing,No nothing
186,wife,16000.0,0.0,16000.0,No,,,3,3,,it might help,3,it might help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,3,3,3,Not that I know about,no
187,father-in-law,1400.0,900.0,300.0,Yes,"Family members divide the total cost,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,It sounds like it would help out a whole lot and take stress off of all family members helping to pay for his medical costs,4,For the same reason as I just mentioned in the last question,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,4,Nothing was missed at all.,Not at all
188,husband,50.0,0.0,0.0,No,,,3,1,I dont know,,4,Bc it helps,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,3,3,3,Loans,No
189,grandparent,300.0,120.0,180.0,No,,,1,5,,"Because I really need the help, I have my own family too, I need help",5,Because it would make them feel less bad for me!,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,4,5,5,None at all maybe a coupon,None
190,father-in-law,1200.0,950.0,250.0,Yes,Family members divide the total cost,,5,5,,It would simplify the process of splitting the cost up.,5,It would be easier for everyone.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,4,5,5,There is nothing I can think of that was missed.,There was no part of this survey I found confusing.
191,grandparent,2500.0,2000.0,250.0,No,,,5,2,I don't think my grandma would like that,,4,It's fair,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,4,5,3,No,No
192,grandparent,20000.0,12000.0,8000.0,No,,,1,5,,Yes,5,Yes,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,No,No
193,friend,600.0,75.0,180.0,Yes,"Family members divide the total cost,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",3,5,,It would relieve us of a responsibility that we have some difficulties providing,5,It would relieve some stress of codts,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,Nothing,No
194,mother-in-law,400.0,200.0,200.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,4,5,,So it can help save money i use a lot of my income,5,Because she always saying she puts to much money into it herself,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,No sounds pretty good to me,None it ask sound pretty good
195,father-in-law,250.0,0.0,250.0,Yes,Family members divide the total cost,,5,4,,Yes,5,Yes,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,4,Nope,Was good
196,,12000.0,1000.0,0.0,Yes,Family members send money to the main person caring for our relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",2,4,,It might makes things easier,3,They may find it convenient,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Required,5,5,5,Nothing,Nothing
197,mother,6000.0,2800.0,3200.0,Yes,"Family members divide the total cost,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,I think this could really help me lower the costs,5,It would help us save money,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,No,No
198,wife,950.0,0.0,950.0,No,,,1,5,,montary help,1,,they are busy with there own lives,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,nothing i can think of,no
199,father,1000.0,0.0,100.0,No,,,1,4,,Help me with the cost,2,,Because they have to help,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,Nothing else,Nothing
200,friend,750.0,700.0,50.0,No,,,3,5,,It would help family's get paid for what they already do,5,Sounds like a logical solution to a common problem,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Required,5,4,4,no,No
201,mother,200.0,0.0,200.0,No,,,5,4,,To help,5,To help with finances,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,5,4,No,No
202,grandparent,400.0,200.0,200.0,No,,,2,4,,Any help would be appreciated,5,We are getting burnt out,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,5,5,4,Nothing,No
203,grandparent,6500.0,6000.0,500.0,No,,,1,5,,Because it's something new and different.,5,Because it's something new and different,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,5,5,5,No thank you,No
204,father,200.0,0.0,200.0,Yes,Family members are each responsible for different bills,,5,3,,They could have industry specific discounts that can save money,3,Save money and convenience,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Optional,3,4,4,Maybe emergency services,No good survey
205,father,400.0,250.0,150.0,No,,,2,4,,If it can help  of course I would be interested,3,I'm not sure they will be,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,4,4,4,I can't think of anything,No there was not
